# Source: https://github.com/Wal33D/dtc-database
# Commit: 04c43d72e7db7197658b6f72fe582c5076d9eee8
# License: MIT
# Extracted: 2026-03-11T10:18:36Z
# Rows: 9390
B0081	AUDI	Wiring issues, Control module problems, A problem with the airbag
P1582	LINCOLN	Electronic Throttle Monitor Data Available
P1582	MERCURY	Electronic Throttle Monitor Data Available
P1582	OLDSMOBILE	Cruise Direction Circuit Low Voltage
P1582	OTHER	Electronic Throttle Monitor Data Available
P1582	SATURN	Cruise Direction Circuit Low Voltage
P1582	VOLKSWAGEN	Idle Adaptation At Limit
P1583	BUICK	Cruise Direction Circuit High Volume
P1583	CADILLAC	Cruise Direction Circuit High Volume
P1583	CHEVY	Cruise Direction Circuit High Volume
P1583	CHRYSLER	Cruise Direction Circuit High Volume
P1583	FORD	Electronic Throttle Monitor Cruise Disable
P1583	GM	Cruise Direction Circuit High Volume
P1583	GMC	Cruise Direction Circuit High Volume
P1583	LINCOLN	Electronic Throttle Monitor Cruise Disable
P1583	MERCURY	Electronic Throttle Monitor Cruise Disable
P1583	OLDSMOBILE	Cruise Direction Circuit High Volume
P1583	OTHER	Electronic Throttle Monitor Cruise Disable
P1583	SATURN	Cruise Direction Circuit High Volume
P1583	VOLKSWAGEN	Transmission Mount Valves Short To B+
P1584	BUICK	Cruise Control Disabled
P1584	CADILLAC	Cruise Control Disabled
P1584	CHEVY	Cruise Control Disabled
P1584	CHRYSLER	Cruise Control Disabled
P1584	FORD	Throttle Control Detected ETB Malfunction
P1584	GM	Cruise Control Disabled
P1584	GMC	Cruise Control Disabled
P1584	LINCOLN	Throttle Control Detected ETB Malfunction
P1584	MERCURY	Throttle Control Detected ETB Malfunction
P1584	OLDSMOBILE	Cruise Control Disabled
P1584	OTHER	TCU Detected IPE Circuit Malfunction
P1584	SATURN	Cruise Control Disabled
P1584	VOLKSWAGEN	Transmission Mount Valves Short To Ground
P1585	BUICK	Cruise Inhibit Control Circuit
P1585	CADILLAC	Cruise Inhibit Control Circuit
P1585	CHEVY	Cruise Inhibit Control Circuit
P1585	CHRYSLER	Cruise Inhibit Control Circuit
P1585	FORD	Throttle Control Unit Malfunction
P1585	GM	Cruise Inhibit Control Circuit
P1585	GMC	Cruise Inhibit Control Circuit
P1585	LINCOLN	Throttle Control Unit Malfunction
P1585	MERCURY	Throttle Control Unit Malfunction
P1585	OLDSMOBILE	Cruise Inhibit Control Circuit
P1585	OTHER	Throttle Control Unit Malfunction
P1585	SATURN	Cruise Inhibit Control Circuit
P1585	VOLKSWAGEN	Transmission Mount Valves Open Circuit
P1586	BUICK	Cruise Control Brake Switch 2 Circuit
P1586	CADILLAC	Cruise Control Brake Switch 2 Circuit
P1586	CHEVY	Cruise Control Brake Switch 2 Circuit
P1586	CHRYSLER	Cruise Control Brake Switch 2 Circuit
P1586	FORD	Throttle Control Unit Throttle Position Malfunction
P1586	GM	Cruise Control Brake Switch 2 Circuit
P1586	GMC	Cruise Control Brake Switch 2 Circuit
P1586	KIA	A/T To M/T Codification
P1586	LINCOLN	Throttle Control Unit Throttle Position Malfunction
P1586	MERCURY	Throttle Control Unit Throttle Position Malfunction
P1586	OLDSMOBILE	Cruise Control Brake Switch 2 Circuit
P1586	OTHER	Throttle Control Unit Throttle Position Malfunction
P1586	SATURN	Cruise Control Brake Switch 2 Circuit
P1586	VOLKSWAGEN	Engine Mount Solenoid Valves Short To B+
P1587	BUICK	Cruise Control Clutch Control Circuit Low
P1587	CADILLAC	Cruise Control Clutch Control Circuit Low
P1587	CHEVY	Cruise Control Clutch Control Circuit Low
P1587	CHRYSLER	Cruise Control Clutch Control Circuit Low
P1587	FORD	Throttle Control Unit Modulated Command Malfunction
P1587	GM	Cruise Control Clutch Control Circuit Low
P1587	GMC	Cruise Control Clutch Control Circuit Low
P1587	LINCOLN	Throttle Control Unit Modulated Command Malfunction
P1587	MERCURY	Throttle Control Unit Modulated Command Malfunction
P1587	OLDSMOBILE	Cruise Control Clutch Control Circuit Low
P1587	OTHER	Throttle Control Unit Modulated Command Malfunction
P1587	SATURN	Cruise Control Clutch Control Circuit Low
P1587	VOLKSWAGEN	Engine Mount Solenoid Valves Short To Ground
P1588	BUICK	Cruise Control Clutch Control Circuit High
P1588	CADILLAC	Cruise Control Clutch Control Circuit High
P1588	CHEVY	Cruise Control Clutch Control Circuit High
P1588	CHRYSLER	Cruise Control Clutch Control Circuit High
P1588	FORD	Throttle Control Unit Detected Loss of Return Spring
P1588	GM	Cruise Control Clutch Control Circuit High
P1588	GMC	Cruise Control Clutch Control Circuit High
P1588	LINCOLN	Throttle Control Unit Detected Loss of Return Spring
P1588	MERCURY	Throttle Control Unit Detected Loss of Return Spring
P1588	OLDSMOBILE	Cruise Control Clutch Control Circuit High
P1588	OTHER	Throttle Control Unit Detected Loss of Return Spring
P1588	SATURN	Cruise Control Clutch Control Circuit High
P1588	VOLKSWAGEN	Engine Mount Solenoid Valves Open Circuit
P1589	BMW	Control Module Self Test Knock Control Test Pulse Bank 1
P1589	FORD	Throttle Control Unit Unable To Control Desired Throttle Angle
P1589	LINCOLN	Throttle Control Unit Unable To Control Desired Throttle Angle
P1589	MERCURY	Throttle Control Unit Unable To Control Desired Throttle Angle
P1589	OTHER	TCU Unable To Control Desired Throttle Angle
P1590	SUBARU	Neutral Position Switch Circuit High Input
P1591	SUBARU	Neutral Position Switch Circuit Low Input
P1592	SUBARU	Neutral Position Switch Circuit MT Model
P1593	BMW	DISA Control Circuit Electrical
P1594	BMW	B Camshaft Position Actuator Control Open Circuit Bank 2
P1594	DODGE	Charging System Voltage Too High
P1594	JEEP	Charging System Voltage Too High
P1594	PLYMOUTH	Charging System Voltage Too High
P1594	PONTIAC	Charging System Voltage Too High
P1594	SUBARU	Automatic Transmission Diagnosis Input Signal Circuit Malfunction
P1595	DODGE	Speed Control Solenoid Circuit Open Or Shorted
P1595	JEEP	Speed Control Solenoid Circuit Open Or Shorted
P1595	PLYMOUTH	Speed Control Solenoid Circuit Open Or Shorted
P1595	PONTIAC	Speed Control Solenoid Circuit Open Or Shorted
P1595	SUBARU	Automatic Transmission Diagnosis Input Signal Circuit Low Input
P1596	DODGE	Speed Control Switch Always High
P1596	JEEP	Speed Control Switch Always High
P1596	PLYMOUTH	Speed Control Switch Always High
P1596	PONTIAC	Speed Control Switch Always High
P1596	SUBARU	Automatic Transmission Diagnosis Input Signal Circuit High Input
P1597	DODGE	Speed Control Switch Always Low
P1597	JEEP	Speed Control Switch Always Low
P1597	PLYMOUTH	Speed Control Switch Always Low
P1597	PONTIAC	Speed Control Switch Always Low
P1598	DODGE	A/C Pressure Sensor Voltage Too High
P1598	JEEP	A/C Pressure Sensor Voltage Too High
P1598	PLYMOUTH	A/C Pressure Sensor Voltage Too High
P1598	PONTIAC	A/C Pressure Sensor Voltage Too High
P1599	BUICK	Engine Stall Or Near Stall Detected
P1599	CADILLAC	Engine Stall Or Near Stall Detected
P1599	CHEVY	Engine Stall Or Near Stall Detected
P1599	CHRYSLER	Engine Stall Or Near Stall Detected
P1599	DODGE	A/C Pressure Sensor Voltage Too Low
P1599	GM	Engine Stall Or Near Stall Detected
P1599	GMC	Engine Stall Or Near Stall Detected
P1599	JEEP	A/C Pressure Sensor Voltage Too Low
P1599	OLDSMOBILE	Engine Stall Or Near Stall Detected
P1599	PLYMOUTH	A/C Pressure Sensor Voltage Too Low
P1599	PONTIAC	A/C Pressure Sensor Voltage Too Low
P1599	SATURN	Engine Stall Or Near Stall Detected
P1600	BUICK	PCM Battery
P1600	CADILLAC	PCM Battery
P1600	CHEVY	PCM Battery
P1600	FORD	Loss of KAM Power Open Circuit
P1600	GEO	PCM Battery Circuit Fault
P1600	GM	PCM Battery
P1600	GMC	PCM Battery
P1600	JAGUAR	Loss Of Kam Power Circuit Open
P1600	LEXUS	ECM BATT Malfunction
P1600	LINCOLN	Loss of KAM Power Open Circuit
P1600	MAZDA	Loss Of KAM Power Circuit Open
P1600	MERCURY	Loss of KAM Power Open Circuit
P1600	MITSUBISHI	Serial Communication Link
P1600	OLDSMOBILE	PCM Battery
P1600	OTHER	Loss of KAM Power; Open Circuit
P1600	SATURN	PCM Battery
P1600	SUZUKI	PCM TCM Serial Communication Circuit Fault
P1600	TOYOTA	ECM BATT Malfunction
P1600	VOLKSWAGEN	Power Supply Terminal No 15 Low Voltage
P1601	BUICK	Serial Communication Problem With Devise 1
P1601	CADILLAC	Serial Communication Problem With Device 1
P1601	CHEVY	Serial Communication Problem With Device 1
P1601	GM	Serial Communication Problem With Device 1
P1601	GMC	Serial Communication Problem With Device 1
P1601	MAZDA	Powertrain Control Module Communication Line To TCM Error
P1601	OLDSMOBILE	Serial Communication Problem With Device 1
P1601	OTHER	ECM/TCM Serial Communication Error
P1601	SATURN	Serial Communication Problem With Devise 1
P1602	BMW	Control Module Self Test Control Module Defective
P1602	BUICK	Loss Of EBTCM Serial Data
P1602	CADILLAC	Loss Of EBTCM Serial Data
P1602	CHEVY	Loss Of EBTCM Serial Data
P1602	CHRYSLER	PCM Not Programmed
P1602	DODGE	PCM Not Programmed
P1602	GM	Loss Of EBTCM Serial Data
P1602	GMC	Loss Of EBTCM Serial Data
P1602	JEEP	PCM Not Programmed
P1602	MAZDA	Powertrain Control Module Communication Line To TCM Error, Immobilizer System Communication Error With Powertrain Control Module
P1602	OLDSMOBILE	Loss Of EBTCM Serial Data
P1602	OTHER	Immobilizer/ECM Communication Error
P1602	PLYMOUTH	PCM Not Programmed
P1602	PONTIAC	PCM Not Programmed
P1602	SATURN	Loss Of EBTCM Serial Data
P1602	VOLKSWAGEN	Power Supply Terminal No 30 Low Voltage
P1603	BMW	Control Module Self Test Torque Monitoring
P1603	BUICK	Loss Of SDM Serial Data
P1603	CADILLAC	Loss Of SDM Serial Data
P1603	CHEVY	Loss Of SDM Serial Data
P1603	GM	Loss Of SDM Serial Data
P1603	GMC	Loss Of SDM Serial Data
P1603	JAGUAR	EEPROM Malfunction
P1603	MAZDA	Immobilizer System Fault
P1603	OLDSMOBILE	Loss Of SDM Serial Data
P1603	OTHER	EEPROM Malfunction
P1603	SATURN	Loss Of SDM Serial Data
P1603	VOLKSWAGEN	Internal Control Module Self Check
P1604	BMW	Control Module Self Test Speed Monitoring
P1604	BUICK	Loss Of IPC Serial Data
P1604	CADILLAC	Loss Of IPC Serial Data
P1604	CHEVY	Loss Of IPC Serial Data
P1604	GM	Loss Of IPC Serial Data
P1604	GMC	Loss Of IPC Serial Data
P1604	MAZDA	Immobilizer System Fault
P1604	OLDSMOBILE	Loss Of IPC Serial Data
P1604	OTHER	Code Word Unregestered
P1604	SATURN	Loss Of IPC Serial Data
P1604	VOLKSWAGEN	Internal Control Module Driver Error
P1605	BUICK	Loss OF HVAX Serial Data
P1605	CADILLAC	Loss Of HVAX Serial Data
P1605	CHEVY	Loss Of HVAX Serial Data
P1605	FORD	PCM Keep Alive Memory Test Error
P1605	GM	Loss Of HVAX Serial Data
P1605	GMC	Loss Of HVAX Serial Data
P1605	JAGUAR	Keep Alive Memory Test Failure
P1605	LEXUS	Knock Control CPU Malfunction
P1605	LINCOLN	PCM Keep Alive Memory Test Error
P1605	MAZDA	Powertrain Control Module Keep Alive Memory Test Error
P1605	MERCURY	PCM Keep Alive Memory Test Error
P1605	NISSAN	AT Diagnostic Communication Line
P1605	OLDSMOBILE	Loss Of HVAX Serial Data
P1605	OTHER	Keep Alive Memory Test Failure
P1605	SATURN	Loss Of HVAX Serial Data
P1605	TOYOTA	Knock Control CPU
P1605	VOLKSWAGEN	Rough Road Acceleration Sensor Electrical Malfunction
P1606	BUICK	Serial Communication Problem With Device 6
P1606	CADILLAC	Serial Communication Problem With Device 6
P1606	CHEVY	Serial Communication Problem With Device 6
P1606	GM	Serial Communication Problem With Device 6
P1606	GMC	Serial Communication Problem With Device 6
P1606	JAGUAR	ECM Control Relay Output Circuit
P1606	KIA	Chassis Accelerator Sensor Signal Circuit Fault
P1606	OLDSMOBILE	Serial Communication Problem With Device 6
P1606	OTHER	ECM Control Relay O/P Circuit Malfunction
P1606	SATURN	Serial Communication Problem With Device 6
P1606	VOLKSWAGEN	Rough Road Spec Engine Torque ABS ECU Electrical Malfunction
P1607	ACURA	ECM Internal Circuit Failure A
P1607	BMW	CAN Version
P1607	BUICK	Serial Communication Problem With Devise 7
P1607	CADILLAC	Serial Communication Problem With Device 7
P1607	CHEVY	Serial Communication Problem With Device 7
P1607	GM	Serial Communication Problem With Device 7
P1607	GMC	Serial Communication Problem With Device 7
P1607	HONDA	ECM Internal Circuit Failure A
P1607	INFINITI	ECM Internal Circuit Failure A
P1607	JAGUAR	MIL Output Circuit
P1607	OLDSMOBILE	Serial Communication Problem With Device 7
P1607	OTHER	MIL O/P Circuit Malfunction
P1607	SATURN	Serial Communication Problem With Devise 7
P1607	VOLKSWAGEN	Vehicle Speed Signal Error Message From Instrument Cluster
P1608	ACURA	ECM Internal Circuit Failure B
P1608	BMW	Serial Communicating Link Control Module
P1608	BUICK	Serial Communication Problem With Device 8
P1608	CADILLAC	Serial Communication Problem With Device 8
P1608	CHEVY	Serial Communication Problem With Device 8
P1608	GM	Serial Communication Problem With Device 8
P1608	GMC	Serial Communication Problem With Device 8
P1608	HONDA	ECM Internal Circuit Failure B
P1608	INFINITI	ECM Internal Circuit Failure B
P1608	JAGUAR	Watchdog Malfunction
P1608	KIA	PCM Malfunction
P1608	MAZDA	Powertrain Control Module ECM CPU DTC Test Fault
P1608	OLDSMOBILE	Serial Communication Problem With Device 8
P1608	OTHER	Internal ECM Malfunction
P1608	SATURN	Serial Communication Problem With Device 8
P1608	VOLKSWAGEN	Steering Angle Signal Error Message From Steering Angle Sensor
P1609	BMW	Serial Communicating Link EML
P1609	BUICK	Loss Of TCS Serial Data
P1609	CADILLAC	Loss Of TCS Serial Data
P1609	CHEVY	Loss Of TCS Serial Data
P1609	GM	Loss Of TCS Serial Data
P1609	GMC	Loss Of TCS Serial Data
P1609	JAGUAR	Internal Control Module CPU To CPU Communication Failure
P1609	MAZDA	Powertrain Control Module ECM CPU Knock Sensor Circuit
P1609	OLDSMOBILE	Loss Of TCS Serial Data
P1609	OTHER	Diagnostic Lamp Driver Fault
P1609	SATURN	Loss Of TCS Serial Data
P1609	VOLKSWAGEN	Crash Shut Down Activated
P1610	BUICK	Loss Of PZM Serial Data
P1610	CADILLAC	Loss Of PZM Serial Data
P1610	CHEVY	Loss Of PZM Serial Data
P1610	GM	Loss Of PZM Serial Data
P1610	GMC	Loss Of PZM Serial Data
P1610	MERCEDES	Voltage Supply Missing Or Relay Module K40
P1610	OLDSMOBILE	Loss Of PZM Serial Data
P1610	OTHER	SBDS Interactive Codes
P1610	SATURN	Loss Of PZM Serial Data
P1611	BMW	Serial Communicating Link Transmission Control Module
P1611	BUICK	Loss Of CVRTD Serial Data
P1611	CADILLAC	Loss Of CVRTD Serial Data
P1611	CHEVY	Loss Of CVRTD Serial Data
P1611	GM	Loss Of CVRTD Serial Data
P1611	GMC	Loss Of CVRTD Serial Data
P1611	JAGUAR	Throttle Target Malfunction 1
P1611	KIA	MIL Request Circuit Voltage Low
P1611	MERCEDES	IFI Control Module N37
P1611	OLDSMOBILE	Loss Of CVRTD Serial Data
P1611	OTHER	SBDS Interactive Codes
P1611	SATURN	Loss Of CVRTD Serial Data
P1611	VOLKSWAGEN	MIL Call-Up Circuit TCM Short To Ground
P1612	BUICK	Loss OF IPM Serial Data
P1612	CADILLAC	Loss Of IPM Serial Data
P1612	CHEVY	Loss Of IPM Serial Data
P1612	GM	Loss Of IPM Serial Data
P1612	GMC	Loss Of IPM Serial Data
P1612	JAGUAR	Throttle Offset Malfunction
P1612	MERCEDES	IFI Control Module N37 Voltage Circuit 15
P1612	OLDSMOBILE	Loss Of IPM Serial Data
P1612	OTHER	SBDS Interactive Codes
P1612	SATURN	Loss Of IPM Serial Data
P1612	VOLKSWAGEN	Engine Control Module Incorrect Coding
P1613	BUICK	Loss Of DIM Serial Data
P1613	CADILLAC	Loss Of DIM Serial Data
P1613	CHEVY	Loss Of DIM Serial Data
P1613	GM	Loss Of DIM Serial Data
P1613	GMC	Loss Of DIM Serial Data
P1613	MERCEDES	IFI Control Module N37
P1613	OLDSMOBILE	Loss Of DIM Serial Data
P1613	OTHER	SBDS Interactive Codes
P1613	SATURN	Loss Of DIM Serial Data
P1613	VOLKSWAGEN	MIL Call-Up Circuit Open Short To B+
P1614	BUICK	Loss Of RIM Serial Data
P1614	CADILLAC	Loss Of RIM Serial Data
P1614	CHEVY	Loss Of RIM Serial Data
P1614	GM	Loss Of RIM Serial Data
P1614	GMC	Loss Of RIM Serial Data
P1614	KIA	MIL Request Circuit Voltage High
P1614	MERCEDES	IFI Control Module N37 Voltage Or Fuel Metering Actuator Y231K1 Or Fuel Rack Position Sensor Y2311
P1614	OLDSMOBILE	Loss Of RIM Serial Data
P1614	OTHER	SBDS Interactive Codes
P1614	SATURN	Loss Of RIM Serial Data
P1614	VOLKSWAGEN	MIL Call-Up Circuit Transmission Control Module Range Performance
P1615	BUICK	Loss Of VTD Serial Data
P1615	CADILLAC	Loss Of VTD Serial Data
P1615	CHEVY	Loss Of VTD Serial Data
P1615	GM	Loss Of VTD Serial Data
P1615	GMC	Loss Of VTD Serial Data
P1615	MERCEDES	IFI Control Module N37 Supply Voltage
P1615	OLDSMOBILE	Loss Of VTD Serial Data
P1615	OTHER	SBDS Interactive Codes
P1615	SATURN	Loss Of VTD Serial Data
P1615	VOLKSWAGEN	Engine Oil Temperature Sensor Circuit Range Performance
P1616	KIA	Chassis Accelerator Sensor Signal Low Voltage
P1616	OTHER	SBDS Interactive Codes
P1616	VOLKSWAGEN	Glow Plug Heater Indicator Circuit Short To B+
P1617	BUICK	Engine Oil Level Switch Circuit
P1617	CADILLAC	Engine Oil Level Switch Circuit
P1617	CHEVY	Engine Oil Level Switch Circuit
P1617	GM	Engine Oil Level Switch Circuit
P1617	GMC	Engine Oil Level Switch Circuit
P1617	KIA	Chassis Accelerator Sensor Signal High Voltage
P1617	MERCEDES	Control Module Fault Or Control Module Not Coded
P1617	OLDSMOBILE	Engine Oil Level Switch Circuit
P1617	OTHER	SBDS Interactive Codes
P1617	SATURN	Engine Oil Level Switch Circuit
P1617	VOLKSWAGEN	Glow Plug Heater Indicator Circuit Open Short To Ground
P1618	OTHER	SBDS Interactive Codes
P1618	VOLKSWAGEN	Glow Plug Heater Relay Circuit Short To B+
P1619	BMW	MAP Cooling Control Circuit Signal Low
P1619	BUICK	Engine Oil Life Monitor Reset Circuit
P1619	CADILLAC	Engine Oil Life Monitor Reset Circuit
P1619	CHEVY	Engine Oil Life Monitor Reset Circuit
P1619	GM	Engine Oil Life Monitor Reset Circuit
P1619	GMC	Engine Oil Life Monitor Reset Circuit
P1619	OLDSMOBILE	Engine Oil Life Monitor Reset Circuit
P1619	OTHER	SBDS Interactive Codes
P1619	SATURN	Engine Oil Life Monitor Reset Circuit
P1619	VOLKSWAGEN	Glow Plug Heater Relay Circuit Open Short To Ground
P1620	BMW	MAP Cooling Control Circuit Signal High
P1620	BUICK	Low Coolant Circuit
P1620	CADILLAC	Low Coolant Circuit
P1620	CHEVY	Low Coolant Circuit
P1620	GM	Low Coolant Circuit
P1620	GMC	Low Coolant Circuit
P1620	OLDSMOBILE	Low Coolant Circuit
P1620	OTHER	SBDS Interactive Codes
P1620	SATURN	Low Coolant Circuit
P1620	VOLKSWAGEN	Engine Coolant Temperature Signal Open Short To B+
P1621	BUICK	PCM Memory Performance
P1621	CADILLAC	PCM Memory Performance
P1621	CHEVY	PCM Memory Performance
P1621	GM	PCM Memory Performance
P1621	GMC	PCM Memory Performance
P1621	MAZDA	Immobilizer System Fault
P1621	OLDSMOBILE	PCM Memory Performance
P1621	OTHER	Control Module Long Term Memory Performance/ Immobilizer Code Words Do Not Match
P1621	SATURN	PCM Memory Performance
P1621	VOLKSWAGEN	Engine Coolant Temperature Signal Short To Ground
P1622	BMW	MAP Cooling Control Circuit Electrical
P1622	BUICK	Cylinder Select
P1622	CADILLAC	Cylinder Select
P1622	CHEVY	Cylinder Select
P1622	GM	Cylinder Select
P1622	GMC	Cylinder Select
P1622	MAZDA	Immobilizer System Fault
P1622	MERCEDES	Electrohydraulic Shut-Off Actuator Y11
P1622	OLDSMOBILE	Cylinder Select
P1622	OTHER	Immobilizer ID Does Not Match
P1622	SATURN	Cylinder Select
P1622	VOLKSWAGEN	Engine Coolant Temperature Signal Range Performance
P1623	BMW	Pedal Position Sensor Potentiometer Supply
P1623	BUICK	Transmission Temp Pull-Up Resistor
P1623	CADILLAC	Transmission Temp Pull-Up Resistor
P1623	CHEVY	Transmission Temp Pull-Up Resistor
P1623	GM	Transmission Temp Pull-Up Resistor
P1623	GMC	Transmission Temp Pull-Up Resistor
P1623	MAZDA	Immobilizer System Fault
P1623	OLDSMOBILE	Transmission Temp Pull-Up Resistor
P1623	OTHER	Immobilizer Code Word/ID Number Write Failure
P1623	SATURN	Transmission Temp Pull-Up Resistor
P1623	VOLKSWAGEN	Data Bus Powertrain No Communication
P1624	BMW	Pedal Position Sensor Potentiometer Supply Channel 1 Electrical
P1624	BUICK	Customer Snapshot Data Available
P1624	CADILLAC	Customer Snapshot Data Available
P1624	CHEVY	Customer Snapshot Data Available
P1624	GM	Customer Snapshot Data Available
P1624	GMC	Customer Snapshot Data Available
P1624	KIA	TCM To PCM MIL Request Signal Circuit Fault
P1624	MAZDA	Immobilizer System Fault
P1624	OLDSMOBILE	Customer Snapshot Data Available
P1624	OTHER	Anti Theft System
P1624	SATURN	Customer Snapshot Data Available
P1624	VOLKSWAGEN	MIL Request Signal Active
P1625	BMW	Pedal Position Sensor Potentiometer Supply Channel 2 Electrical
P1625	BUICK	PCM System Reset
P1625	CADILLAC	PCM System Reset
P1625	CHEVY	PCM System Reset
P1625	FORD	Voltage to Vehicle Load Control Module Fan Circuit Not Detected
P1625	GM	PCM System Reset
P1625	GMC	PCM System Reset
P1625	LINCOLN	Voltage to Vehicle Load Control Module Fan Circuit Not Detected
P1625	MERCEDES	Check Engine MIL
P1625	MERCURY	Voltage to Vehicle Load Control Module Fan Circuit Not Detected
P1625	OLDSMOBILE	PCM System Reset
P1625	OTHER	B+ Supply To VCRM Fan Circuit Malfunction
P1625	SATURN	PCM System Reset
P1625	VOLKSWAGEN	CAN Bus Unplausible Message From Transmission Control
P1626	BUICK	Theft Deterrent Fuel Enable Signal Lost
P1626	CADILLAC	Theft Deterrent Fuel Enable Signal Lost
P1626	CHEVY	Theft Deterrent Fuel Enable Signal Lost
P1626	FORD	Voltage to Vehicle Load Control Module Circuit Not Detected
P1626	GM	Theft Deterrent Fuel Enable Signal Lost
P1626	GMC	Theft Deterrent Fuel Enable Signal Lost
P1626	LINCOLN	Voltage to Vehicle Load Control Module Circuit Not Detected
P1626	MERCURY	Voltage to Vehicle Load Control Module Circuit Not Detected
P1626	OLDSMOBILE	Theft Deterrent Fuel Enable Signal Lost
P1626	OTHER	Theft Deterrent Fuel Enable Signal Not Received/ B+ Supply To VCRM A/C Circuit Malfunction
P1626	SATURN	Theft Deterrent Fuel Enable Signal Lost
P1626	VOLKSWAGEN	Data Bus Drive Missing Command From M/T
P1627	BUICK	A/D Performance
P1627	CADILLAC	A/D Performance
P1627	CHEVY	A/D Performance
P1627	GM	A/D Performance
P1627	GMC	A/D Performance
P1627	MAZDA	Powertrain Control Module ECM TCS Line Communication Error
P1627	OLDSMOBILE	A/D Performance
P1627	OTHER	Module Supply Voltage Out Of Range
P1627	SATURN	A/D Performance
P1627	VOLKSWAGEN	Data Bus Powertrain Missing Message From Fuel Injection Pump
P1628	BUICK	ECT Pull-Up Resistor
P1628	CADILLAC	ECT Pull-Up Resistor
P1628	CHEVY	ECT Pull-Up Resistor
P1628	GM	ECT Pull-Up Resistor
P1628	GMC	ECT Pull-Up Resistor
P1628	MAZDA	Powertrain Control Module ECM TCS Any Line Communication Error
P1628	OLDSMOBILE	ECT Pull-Up Resistor
P1628	OTHER	Module Ignition Supply Input Malfunction
P1628	SATURN	ECT Pull-Up Resistor
P1628	VOLKSWAGEN	Data Bus Powertrain Missing Message From Distance Control
P1629	BUICK	Theft Deterrent System Cranking Signal
P1629	CADILLAC	Theft Deterrent System Cranking Signal
P1629	CHEVY	Theft Deterrent System Cranking Signal
P1629	GM	Theft Deterrent System Cranking Signal
P1629	GMC	Theft Deterrent System Cranking Signal
P1629	OLDSMOBILE	Theft Deterrent System Cranking Signal
P1629	OTHER	Internal Voltage Regulator Malfunction
P1629	SATURN	Theft Deterrent System Cranking Signal
P1629	VOLKSWAGEN	Data Bus Powertrain Missing Message From Distance Control
P1630	BUICK	Theft Deterrent Learn Mode Active
P1630	CADILLAC	Theft Deterrent Learn Mode Active
P1630	CHEVY	Theft Deterrent Learn Mode Active
P1630	GM	Theft Deterrent Learn Mode Active
P1630	GMC	Theft Deterrent Learn Mode Active
P1630	MAZDA	Alternator Regulator 1 Control Circuit
P1630	MERCEDES	Drive Authorization Signal
P1630	OLDSMOBILE	Theft Deterrent Learn Mode Active
P1630	OTHER	Internal Vref Malfunction
P1630	SATURN	Theft Deterrent Learn Mode Active
P1630	TOYOTA	Traction Control System
P1630	VOLKSWAGEN	Accelerator Pedal Position Sensor 1 Signal Too Low
P1631	BUICK	Theft Deterrent Start Enable Signal Not Correct
P1631	CADILLAC	Theft Deterrent Start Enable Signal Not Correct
P1631	CHEVY	Theft Deterrent Start Enable Signal Not Correct
P1631	GM	Theft Deterrent Start Enable Signal Not Correct
P1631	GMC	Theft Deterrent Start Enable Signal Not Correct
P1631	KIA	Alternator T Open Or No Power Output 1.8L
P1631	MAZDA	Generator Output Voltage Signal No Output
P1631	OLDSMOBILE	Theft Deterrent Start Enable Signal Not Correct
P1631	OTHER	Theft Deterrent Start Enable Signal Not Correct/ Main Relay Malfunction (Power Hold)
P1631	SATURN	Theft Deterrent Start Enable Signal Not Correct
P1631	VOLKSWAGEN	Accelerator Pedal Position Sensor 1 Signal Too High
P1632	BMW	Throttle Valve Adaptation Adaptation Condition Not Met
P1632	BUICK	Theft Deterrent System Fuel Disabled
P1632	CADILLAC	Theft Deterrent System Fuel Disabled
P1632	CHEVY	Theft Deterrent System Fuel Disabled
P1632	GM	Theft Deterrent System Fuel Disabled
P1632	GMC	Theft Deterrent System Fuel Disabled
P1632	KIA	Battery Voltage Detection Circuit for Alternator Regulator 1.8L
P1632	MAZDA	Battery Voltage Detection Circuit for Alternator Regulator
P1632	OLDSMOBILE	Theft Deterrent System Fuel Disabled
P1632	OTHER	Smart Alternator Faults Sensor/Circuit Malfunction
P1632	SATURN	Theft Deterrent System Fuel Disabled
P1632	VOLKSWAGEN	Accelerator Pedal Position Sensor 1 Power Supply Malfunction
P1633	BMW	Throttle Valve Adaptation Limp Home Position
P1633	BUICK	Ignition Supply Power Circuit Low Voltage
P1633	CADILLAC	Ignition Supply Power Circuit Low Voltage
P1633	CHEVY	Ignition Supply Power Circuit Low Voltage
P1633	GM	Ignition Supply Power Circuit Low Voltage
P1633	GMC	Ignition Supply Power Circuit Low Voltage
P1633	KIA	Battery Overcharge
P1633	LEXUS	ECM Malfunction ETCS Circuit
P1633	MAZDA	Battery Overcharge Fault
P1633	OLDSMOBILE	Ignition Supply Power Circuit Low Voltage
P1633	OTHER	KAM Voltage Too Low
P1633	SATURN	Ignition Supply Power Circuit Low Voltage
P1633	TOYOTA	ECM
P1633	VOLKSWAGEN	Accelerator Pedal Position Sensor 2 Signal Too Low
P1634	BMW	Throttle Valve Adaptation Spring Test Failed
P1634	BUICK	Ignition 1 Power Circuit Low Voltage
P1634	CADILLAC	Ignition 1 Power Circuit Low Voltage
P1634	CHEVY	Ignition 1 Power Circuit Low Voltage
